Date of activity,Date of reporting,Nation,Pillar,Daily number of tests,Cumulative number of tests,Daily number of people tested,Cumulative number of people tested,Daily number of positive cases,Cumulative number of positive cases,Daily In-person (tests processed),Cumulative In-person (tests processed),Daily Delivery (tests sent out),Cumulative Delivery (tests sent out)
20/03/2020,21/03/2020,England,Pillar 1,,,4251,59526,873,4257,,,,
20/03/2020,21/03/2020,Northern Ireland,Pillar 1,,,370,2186,22,108,,,,
20/03/2020,21/03/2020,Scotland,Pillar 1,,,709,8259,51,373,,,,
20/03/2020,21/03/2020,Wales,Pillar 1 & 2,,,539,2847,89,280,,,,
20/03/2020,21/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,5869,72818,1035,5018,,,,
20/03/2020,21/03/2020,UK,Pillar 2 (excluding Wales),,,,,,,,,,
20/03/2020,21/03/2020,UK,Pillar 3,,,,,,,,,,
20/03/2020,21/03/2020,UK,Pillar 4,,,,,,,,,,
21/03/2020,22/03/2020,England,Pillar 1,,,4505,64031,535,4792,,,,
21/03/2020,22/03/2020,Northern Ireland,Pillar 1,,,298,2484,20,128,,,,
21/03/2020,22/03/2020,Scotland,Pillar 1,,,420,8679,43,416,,,,
21/03/2020,22/03/2020,Wales,Pillar 1 & 2,,,299,3146,67,347,,,,
21/03/2020,22/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,5522,78340,665,5683,,,,
21/03/2020,22/03/2020,UK,Pillar 2 (excluding Wales),,,,,,,,,,
21/03/2020,22/03/2020,UK,Pillar 3,,,,,,,,,,
21/03/2020,22/03/2020,UK,Pillar 4,,,,,,,,,,
22/03/2020,23/03/2020,England,Pillar 1,,,4434,68465,793,5585,,,,
22/03/2020,23/03/2020,Northern Ireland,Pillar 1,,,208,2692,20,148,,,,
22/03/2020,23/03/2020,Scotland,Pillar 1,,,685,9364,83,499,,,,
22/03/2020,23/03/2020,Wales,Pillar 1 & 2,,,278,3424,71,418,,,,
22/03/2020,23/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,5605,83945,967,6650,,,,
22/03/2020,23/03/2020,UK,Pillar 2 (excluding Wales),,,,,,,,,,
22/03/2020,23/03/2020,UK,Pillar 3,,,,,,,,,,
22/03/2020,23/03/2020,UK,Pillar 4,,,,,,,,,,
23/03/2020,24/03/2020,England,Pillar 1,,,5111,73576,1258,6843,,,,
23/03/2020,24/03/2020,Northern Ireland,Pillar 1,,,297,2989,24,172,,,,
23/03/2020,24/03/2020,Scotland,Pillar 1,,,604,9968,85,584,,,,
23/03/2020,24/03/2020,Wales,Pillar 1 & 2,,,479,3903,60,478,,,,
23/03/2020,24/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,6491,90436,1427,8077,,,,
23/03/2020,24/03/2020,UK,Pillar 2 (excluding Wales),,,,,,,,,,
23/03/2020,24/03/2020,UK,Pillar 3,,,,,,,,,,
23/03/2020,24/03/2020,UK,Pillar 4,,,,,,,,,,
24/03/2020,25/03/2020,England,Pillar 1,,,5395,78971,1130,7973,,,,
24/03/2020,25/03/2020,Northern Ireland,Pillar 1,,,383,3372,37,209,,,,
24/03/2020,25/03/2020,Scotland,Pillar 1,,,708,10676,135,719,,,,
24/03/2020,25/03/2020,Wales,Pillar 1 & 2,,,97,4000,150,628,,,,
24/03/2020,25/03/2020,UK,Pillar 1 (plus Pillar 2 for Wales),,,6583,97019,1452,9529,,,,
24/03/2020,25/03/2020,UK,Pillar 2 (excluding Wales),,,,,,,,,,
24/03/2020,25/03/2020,UK,Pillar 3,,,,,,,,,,
