Name,Geography1,All ages
UNITED KINGDOM,Country,66796807
GREAT BRITAIN,Country,64903140
ENGLAND AND WALES,Country,59439840
ENGLAND,Country,56286961
NORTH EAST,Region,2669941
County Durham,Unitary Authority,530094
Darlington,Unitary Authority,106803
Hartlepool,Unitary Authority,93663
Middlesbrough,Unitary Authority,140980
Northumberland,Unitary Authority,322434
Redcar and Cleveland,Unitary Authority,137150
Stockton-on-Tees,Unitary Authority,197348
Tyne and Wear (Met County),Metropolitan County,1141469
Gateshead,Metropolitan District,202055
Newcastle upon Tyne,Metropolitan District,302820
North Tyneside,Metropolitan District,207913
South Tyneside,Metropolitan District,150976
Sunderland,Metropolitan District,277705
NORTH WEST,Region,7341196
Blackburn with Darwen,Unitary Authority,149696
Blackpool,Unitary Authority,139446
Cheshire East,Unitary Authority,384152
Cheshire West and Chester,Unitary Authority,343071
Halton,Unitary Authority,129410
Warrington,Unitary Authority,210014
Cumbria,County,500012
Allerdale,Non-metropolitan District,97761
Barrow-in-Furness,Non-metropolitan District,67049
Carlisle,Non-metropolitan District,108678
Copeland,Non-metropolitan District,68183
Eden,Non-metropolitan District,53253
South Lakeland,Non-metropolitan District,105088
Greater Manchester (Met County),Metropolitan County,2835686
Bolton,Metropolitan District,287550
Bury,Metropolitan District,190990
Manchester,Metropolitan District,552858
Oldham,Metropolitan District,237110
Rochdale,Metropolitan District,222412
Salford,Metropolitan District,258834
Stockport,Metropolitan District,293423
Tameside,Metropolitan District,226493
Trafford,Metropolitan District,237354
Wigan,Metropolitan District,328662
Lancashire,County,1219799
Burnley,Non-metropolitan District,88920
Chorley,Non-metropolitan District,118216
Fylde,Non-metropolitan District,80780
Hyndburn,Non-metropolitan District,81043
Lancaster,Non-metropolitan District,146038
Pendle,Non-metropolitan District,92112
Preston,Non-metropolitan District,143135
Ribble Valley,Non-metropolitan District,60888
Rossendale,Non-metropolitan District,71482
South Ribble,Non-metropolitan District,110788
West Lancashire,Non-metropolitan District,114306
Wyre,Non-metropolitan District,112091
Merseyside (Met County),Metropolitan County,1429910
Knowsley,Metropolitan District,150862
Liverpool,Metropolitan District,498042
Sefton,Metropolitan District,276410
St. Helens,Metropolitan District,180585
Wirral,Metropolitan District,324011
YORKSHIRE AND THE HUMBER,Region,5502967
East Riding of Yorkshire,Unitary Authority,341173
"Kingston upon Hull, City of",Unitary Authority,259778
North East Lincolnshire,Unitary Authority,159563
North Lincolnshire,Unitary Authority,172292
York,Unitary Authority,210618
North Yorkshire,County,618054
Craven,Non-metropolitan District,57142
Hambleton,Non-metropolitan District,91594
Harrogate,Non-metropolitan District,160831
Richmondshire,Non-metropolitan District,53730
Ryedale,Non-metropolitan District,55380
Scarborough,Non-metropolitan District,108757
Selby,Non-metropolitan District,90620
South Yorkshire (Met County),Metropolitan County,1409020
Barnsley,Metropolitan District,246866
Doncaster,Metropolitan District,311890
Rotherham,Metropolitan District,265411
Sheffield,Metropolitan District,584853
West Yorkshire (Met County),Metropolitan County,2332469
Bradford,Metropolitan District,539776
Calderdale,Metropolitan District,211455
Kirklees,Metropolitan District,439787
Leeds,Metropolitan District,793139
Wakefield,Metropolitan District,348312
EAST MIDLANDS,Region,4835928
